<PAD>,0
<UNK>,1
 ,2
"
",3
",",4
e,5
1,6
i,7
0,8
.,9
a,10
o,11
n,12
的,13
t,14
2,15
s,16
r,17
l,18
),19
(,20
。,21
m,22
3,23
、,24
5,25
4,26
糖,27
d,28
c,29
病,30
C,31
A,32
-,33
P,34
h,35
T,36
血,37
g,38
6,39
p,40
7,41
D,42
8,43
u,44
L,45
性,46
G,47
9,48
素,49
尿,50
组,51
R,52
者,53
M,54
S,55
分,56
I,57
和,58
患,59
用,60
b,61
±,62
H,63
中,64
y,65
/,66
发,67
高,68
f,69
;,70
[,71
:,72
在,73
],74
有,75
细,76
为,77
胞,78
与,79
胰,80
对,81
N,82
体,83
因,84
生,85
F,86
能,87
研,88
%,89
究,90
岛,91
B,92
可,93
一,94
及,95
于,96
表,97
型,98
关,99
重,100
平,101
脂,102
疗,103
相,104
显,105
量,106
是,107
治,108
年,109
化,110
水,111
后,112
不,113
w,114
O,115
低,116
制,117
v,118
增,119
E,120
<,121
以,122
甲,123
合,124
进,125
白,126
基,127
常,128
物,129
降,130
大,131
度,132
其,133
明,134
内,135
状,136
现,137
作,138
结,139
学,140
应,141
骨,142
等,143
心,144
人,145
并,146
时,147
蛋,148
药,149
上,150
过,151
症,152
加,153
比,154
而,155
正,156
腺,157
成,158
数,159
期,160
测,161
管,162
较,163
肾,164
动,165
多,166
或,167
~,168
例,169
指,170
要,171
功,172
异,173
标,174
达,175
变,176
率,177
同,178
下,179
示,180
代,181
激,182
前,183
酸,184
方,185
K,186
剂,187
均,188
抗,189
β,190
检,191
本,192
行,193
调,194
减,195
无,196
U,197
临,198
通,199
险,200
床,201
国,202
间,203
受,204
k,205
果,206
定,207
x,208
谢,209
泌,210
鼠,211
二,212
了,213
压,214
小,215
诊,216
质,217
抑,218
提,219
别,220
影,221
出,222
计,223
使,224
个,225
活,226
类,227
预,228
析,229
升,230
医,231
统,232
导,233
子,234
经,235
肪,236
响,237
=,238
清,239
断,240
少,241
差,242
列,243
外,244
龄,245
法,246
格,247
系,248
种,249
验,250
肥,251
腹,252
风,253
理,254
转,255
群,256
程,257
疾,258
效,259
但,260
胖,261
目,262
致,263
随,264
此,265
院,266
据,267
周,268
控,269
机,270
酶,271
女,272
联,273
脏,274
醇,275
全,276
密,277
改,278
实,279
次,280
脉,281
W,282
双,283
注,284
炎,285
查,286
著,287
空,288
长,289
反,290
值,291
也,292
存,293
且,294
意,295
自,296
胆,297
三,298
照,299
固,300
采,301
位,302
证,303
到,304
科,305
起,306
特,307
主,308
点,309
肝,310
入,311
这,312
样,313
最,314
男,315
准,316
他,317
所,318
更,319
V,320
项,321
术,322
之,323
单,324
新,325
态,326
来,327
肌,328
具,329
非,330
征,331
+,332
织,333
如,334
围,335
危,336
会,337
抵,338
干,339
促,340
由,341
各,342
节,343
义,344
试,345
原,346
皮,347
解,348
强,349
综,350
未,351
肽,352
情,353
部,354
总,355
维,356
免,357
从,358
感,359
展,360
面,361
岁,362
胍,363
复,364
见,365
步,366
损,367
线,368
汀,369
至,370
除,371
利,372
道,373
推,374
食,375
引,376
餐,377
善,378
月,379
需,380
产,381
评,382
亡,383
取,384
家,385
收,386
瘤,387
第,388
超,389
式,390
力,391
J,392
早,393
>,394
氧,395
葡,396
确,397
死,398
萄,399
参,400
服,401
膜,402
儿,403
呈,404
况,405
X,406
疫,407
酮,408
选,409
包,410
身,411
将,412
该,413
切,414
饮,415
件,416
肿,417
每,418
立,419
≥,420
模,421
已,422
还,423
建,424
图,425
南,426
象,427
共,428
缺,429
然,430
积,431
形,432
养,433
公,434
持,435
缓,436
日,437
亚,438
础,439
两,440
油,441
神,442
荐,443
Z,444
α,445
腰,446
着,447
张,448
接,449
甘,450
处,451
估,452
良,453
肠,454
级,455
射,456
微,457
报,458
料,459
论,460
严,461
脲,462
区,463
Y,464
j,465
括,466
娠,467
妊,468
染,469
轻,470
敏,471
认,472
运,473
限,474
得,475
回,476
保,477
些,478
手,479
口,480
癌,481
慢,482
观,483
色,484
地,485
液,486
资,487
吸,488
耐,489
浓,490
含,491
史,492
脑,493
钙,494
排,495
孕,496
近,497
诱,498
球,499
依,500
环,501
直,502
伴,503
美,504
路,505
防,506
z,507
即,508
述,509
信,510
缩,511
当,512
育,513
冠,514
号,515
被,516
氨,517
酯,518
×,519
“,520
尚,521
仍,522
Q,523
整,524
康,525
硬,526
我,527
健,528
逐,529
考,530
否,531
好,532
则,533
议,534
续,535
文,536
讨,537
海,538
根,539
放,540
松,541
天,542
似,543
足,544
失,545
亢,546
安,547
司,548
归,549
移,550
仅,551
殖,552
离,553
案,554
钠,555
护,556
独,557
突,558
传,559
族,560
磷,561
金,562
视,563
波,564
老,565
终,566
刺,567
凋,568
录,569
负,570
附,571
粒,572
颈,573
毒,574
识,575
集,576
属,577
垂,578
名,579
事,580
察,581
核,582
乳,583
伤,584
冶,585
始,586
流,587
访,588
静,589
布,590
适,591
光,592
介,593
说,594
占,595
探,596
速,597
培,598
市,599
题,600
们,601
μ,602
摄,603
粥,604
开,605
构,606
向,607
范,608
予,609
乏,610
q,611
往,612
给,613
稳,614
磺,615
源,616
专,617
监,618
择,619
胎,620
释,621
眼,622
四,623
另,624
菌,625
衰,626
规,627
按,628
够,629
势,630
急,631
舒,632
键,633
首,634
西,635
疏,636
段,637
价,638
拉,639
痛,640
酒,641
没,642
退,643
趋,644
问,645
算,646
渐,647
阿,648
黄,649
游,650
供,651
都,652
混,653
完,654
获,655
虑,656
延,657
浆,658
短,659
鲁,660
℃,661
妇,662
阳,663
青,664
优,665
约,666
遗,667
室,668
径,669
',670
越,671
极,672
局,673
网,674
赖,675
易,676
筛,677
初,678
循,679
精,680
酰,681
酐,682
阻,683
条,684
般,685
乱,686
噬,687
倍,688
器,689
电,690
片,691
紊,692
广,693
交,694
教,695
层,696
巴,697
折,698
侧,699
就,700
沙,701
既,702
囊,703
*,704
民,705
造,706
校,707
充,708
仪,709
益,710
记,711
志,712
技,713
助,714
靶,715
红,716
挥,717
植,718
再,719
先,720
略,721
烟,722
消,723
华,724
克,725
梗,726
肢,727
李,728
卫,729
禁,730
京,731
域,732
词,733
何,734
尤,735
协,736
软,737
胶,738
住,739
障,740
胃,741
≤,742
忆,743
停,744
很,745
—,746
滤,747
骼,748
绝,749
只,750
晚,751
聚,752
害,753
佳,754
臀,755
互,756
知,757
纤,758
肉,759
唑,760
像,761
塞,762
淋,763
元,764
工,765
纳,766
左,767
热,768
继,769
碍,770
声,771
碘,772
那,773
任,774
头,775
纯,776
普,777
带,778
罗,779
κ,780
竭,781
曲,782
雌,783
北,784
营,785
针,786
去,787
王,788
破,789
支,790
棕,791
旁,792
钾,793
盒,794
替,795
止,796
卒,797
容,798
恶,799
亦,800
员,801
》,802
童,803
末,804
杂,805
虽,806
献,807
途,808
必,809
《,810
斑,811
尽,812
峰,813
配,814
”,815
卡,816
母,817
氮,818
块,819
胱,820
脱,821
境,822
睾,823
品,824
巨,825
丙,826
幅,827
官,828
修,829
γ,830
余,831
?,832
石,833
换,834
许,835
补,836
醛,837
避,838
界,839
待,840
索,841
夜,842
备,843
快,844
齐,845
符,846
连,847
陈,848
际,849
溶,850
序,851
阴,852
师,853
龙,854
字,855
山,856
刘,857
告,858
批,859
底,860
故,861
它,862
盐,863
瑞,864
尔,865
书,866
恢,867
衡,868
施,869
东,870
敲,871
沉,872
门,873
厚,874
右,875
链,876
简,877
世,878
紧,879
设,880
授,881
髓,882
映,883
慰,884
几,885
济,886
嗪,887
坏,888
省,889
称,890
雷,891
若,892
扩,893
累,894
雄,895
夫,896
斯,897
深,898
镜,899
偏,900
谷,901
林,902
泡,903
滋,904
社,905
端,906
泄,907
启,908
甚,909
抽,910
频,911
泛,912
鉴,913
伐,914
肺,915
透,916
半,917
难,918
汁,919
语,920
吡,921
瞻,922
远,923
便,924
滴,925
腔,926
军,927
息,928
奈,929
苷,930
羟,931
弱,932
置,933
裂,934
居,935
阶,936
购,937
印,938
噻,939
贝,940
荧,941
又,942
富,943
逆,944
毛,945
霉,946
求,947
卵,948
典,949
乙,950
温,951
浸,952
决,953
顾,954
哺,955
载,956
留,957
望,958
编,959
润,960
输,961
胚,962
郁,963
·,964
潜,965
叶,966
谱,967
殊,968
荷,969
杨,970
英,971
椎,972
十,973
判,974
熟,975
划,976
五,977
百,978
亲,979
马,980
做,981
苯,982
摘,983
版,984
溃,985
股,986
陷,987
洲,988
命,989
孵,990
胺,991
凝,992
氯,993
庆,994
楚,995
迹,996
疡,997
隆,998
苏,999
碱,1000
争,1001
律,1002
江,1003
胸,1004
横,1005
晨,1006
措,1007
汉,1008
业,1009
孔,1010
伟,1011
描,1012
板,1013
音,1014
码,1015
碳,1016
托,1017
队,1018
须,1019
角,1020
州,1021
尼,1022
材,1023
却,1024
今,1025
迅,1026
策,1027
辅,1028
瘦,1029
呼,1030
喂,1031
阐,1032
某,1033
黎,1034
榈,1035
扰,1036
觉,1037
晓,1038
玉,1039
铁,1040
德,1041
婴,1042
宁,1043
暂,1044
曾,1045
烷,1046
饰,1047
颗,1048
详,1049
欧,1050
领,1051
委,1052
